price,installment,title,location,bedroom,bathroom,garage,land_area,building_area
"Rp 1,5 Miliar Total",Rp 7 Jutaan (Tenor 20 Tahun),Ruko Strategis Gandeng Poligon Di Pusat Keramaian Kota Palemban,Palembang,,2,,395 m²,220 m²
"Rp 1,2 Miliar Total",Rp 6 Jutaan (Tenor 20 Tahun),Ruko Murah Dua Lantai Jalan Poros Pinrang Sidrap Sulawesi Selatan,Sidenreng Rappang,,2,,72 m²,144 m²
"Rp 66,7 Juta Total",Rp 350 Ribuan (Tenor 20 Tahun),Tanah Kavling Murah 60jtan Di Salaman Magelang,Magelang,,,,116 m²,
Rp 599 Juta Total,Rp 3 Jutaan (Tenor 20 Tahun),Ruko Bagus Sertifikat Hak Milik di Lumajang Jawa Timur,Lumajang,,1,,200 m²,140 m²
Rp 195 Juta,Rp 1 Jutaan (Tenor 20 Tahun),"Rumah Bagus Unfurnished SHM Kebonarum, Klaten",Klaten,2,1,1,60 m²,27 m²
"Rp 1,1 Miliar",Rp 5 Jutaan (Tenor 20 Tahun),Dijual rumah nyaman di pusat kota Malang,Malang,3,2,,141 m²,120 m²
Rp 90 Miliar Total,Rp 463 Jutaan (Tenor 20 Tahun),Fantastic Eco Park &amp; Lake Tasikmalaya,Tasikmalaya,,,,750000 m²,
Rp 5 Miliar Total,Rp 25 Jutaan (Tenor 20 Tahun),Disewakan Atau Dijual Bisa Cash Bertahap Tanah Seluas 15740 M2 Sangat Strategis di Huko Huko Pomalaa Kolaka,Kolaka,,,,15740 m²,
Rp 1 Miliar Total,Rp 5 Jutaan (Tenor 20 Tahun),Kavling Siap Bangun Di Ciamis Kota,Ciamis,,,,640 m²,
Rp 300 Ribu /m²,Rp 10 Ribuan (Tenor 20 Tahun),Kebun Siap Panen Di Pandeglang,Pandeglang,,,,22800 m²,
"Rp 1,5 Juta /m²",Rp 10 Ribuan (Tenor 20 Tahun),Tanah Strategis Tepi Jalan Utama Area Wisata Janti Wunut Klaten,Klaten,,,,890 m²,
Rp 500 Ribu /m²,Rp 10 Ribuan (Tenor 20 Tahun),Tanah Luas Dekat Jalan Raya Kacangan Sumberlawang Sragen (ty),Sragen,,,,3925 m²,
"Rp 2,99 Miliar",Rp 15 Jutaan (Tenor 20 Tahun),RUMAH COCOK UNTUK KELUARGA BESAR DI LEBDOSARI KALIBANTENG SEMARANG,Semarang,4,2,2,312 m²,230 m²
"Rp 11,1 Miliar Total",Rp 57 Jutaan (Tenor 20 Tahun),"Tanah 3,7 Ha Dijual Di Inderalaya Cocok Untuk Pabrik",Ogan Ilir,,,,37000 m²,
Rp 5 Miliar,Rp 25 Jutaan (Tenor 20 Tahun),Rumah Semi Furnished SHM - Sertifikat Hak Milik Bagus di Magelang Selatan,Magelang,5,3,,2000 m²,700 m²
