price,installment,title,location,bedroom,bathroom,garage,land_area,building_area
"Rp 4,98 Miliar",Rp 25 Jutaan (Tenor 20 Tahun),Rumah SHM LT 238 Bisa Nego 10 Menit ke Mall Cipinang Indah Dibantu KPR J26748,Jakarta Timur,4,3,,238 m²,158 m²
"Rp 1,39 Miliar",Rp 7 Jutaan (Tenor 20 Tahun),Rumah Luas 1 Lantai di Gading Serpong Dekat RS dan Sekolah Harga Nego J-26699,Tangerang,4,2,,159 m²,130 m²
"Rp 1,17 Miliar",Rp 6 Jutaan (Tenor 20 Tahun),Rumah di Jaksel dekat Stasiun Universitas Pancasila Harga Nego J26623,Jakarta Selatan,4,2,,82 m²,144 m²
Rp 450 Juta,Rp 2 Jutaan (Tenor 20 Tahun),Rumah 3 Lt dekat Batavia Splash Water Adventure Harga Nego Siap KPR J26617,Tangerang,3,2,,60 m²,120 m²
"Rp 1,44 Miliar",Rp 7 Jutaan (Tenor 20 Tahun),Rumah Siap Huni 10 Menit ke Bintaro Jaya Xchange Mall Harga Nego J26553,Tangerang Selatan,3,4,,60 m²,80 m²
Rp 420 Juta,Rp 2 Jutaan (Tenor 20 Tahun),Rumah Bebas Banjir Hadap Selatan 10 Menit ke Living Plaza Jababeka J26533,Bekasi,2,1,,72 m²,45 m²
"Rp 1,55 Miliar",Rp 7 Jutaan (Tenor 20 Tahun),Rumah Mewah Hadap Selatan 10 Menit ke RS Mitra Keluarga Pratama Jatiasih Free Renov J-26493,Bekasi,4,4,,109 m²,175 m²
Rp 530 Juta,Rp 2 Jutaan (Tenor 20 Tahun),Rumah 10 Menit ke RS SENTOSA SHM Dibantu KPR Bisa Nego J26477,Bogor,2,1,,73 m²,36 m²
"Rp 3,32 Miliar",Rp 17 Jutaan (Tenor 20 Tahun),Rumah Hadap Selatan LT 124 Siap KPR 9 Menit ke AEON Mall Tanjung Barat J26457,Jakarta Selatan,5,5,,124 m²,200 m²
"Rp 1,12 Miliar",Rp 5 Jutaan (Tenor 20 Tahun),Rumah 3 Lt Hadap Utara Free Renov 15 Menit ke Gerbang Tol Kukusan 3 J26437,Depok,3,2,,100 m²,170 m²
"Rp 1,99 Miliar",Rp 10 Jutaan (Tenor 20 Tahun),Rumah LT 224 SHM Siap KPR 15 menit ke Vivo BTM Bogor Harga Nego J26393,Bogor,4,3,,224 m²,135 m²
"Rp 2,44 Miliar",Rp 12 Jutaan (Tenor 20 Tahun),Rumah 9 Kamar Tidur Bisa Nego 9 Menit ke Tamini Square Dibantu KPR J26381,Jakarta Timur,9,5,,200 m²,217 m²
