price,installment,title,location,bedroom,bathroom,garage,land_area,building_area
"Rp 1,6 Miliar",Rp 8 Jutaan (Tenor 20 Tahun),Rumah 2 Lantai di Villa Puncak Tidar,Malang,3,2,,135 m²,120 m²
"Rp 5,5 Miliar Total",Rp 28 Jutaan (Tenor 20 Tahun),ruko jembatan lima jalan selalu ramai karena jalan alternatif,Jakarta Barat,,4,2,100 m²,250 m²
"Rp 2,3 Miliar",Rp 11 Jutaan (Tenor 20 Tahun),Rumah baru area puri free ppn hanya sampai juni 2025,Jakarta Barat,3,3,1,60 m²,110 m²
"Rp 2,9 Miliar Total",Rp 14 Jutaan (Tenor 20 Tahun),"Ruko Jembatan Lima, Akses 2 mobil, Lokasi strategis",Jakarta Barat,,4,1,78 m²,300 m²
"Rp 9,3 Miliar",Rp 47 Jutaan (Tenor 20 Tahun),"rumah pluit nego sampai deal, jual cepat",Jakarta Utara,5,5,1,312 m²,456 m²
"Rp 8,3 Miliar",Rp 42 Jutaan (Tenor 20 Tahun),"rumah baru di lebak bulus siap huni, memiliki 5 kamar tidur",Jakarta Selatan,5,5,4,180 m²,417 m²
Rp 6 Miliar,Rp 30 Jutaan (Tenor 20 Tahun),ruko shibuya PIK 2 siap pakai,Jakarta Utara,,3,,67 m²,202 m²
"Rp 5,7 Miliar",Rp 29 Jutaan (Tenor 20 Tahun),ruko area perkantoran puri,Jakarta Barat,,4,,63 m²,220 m²
Rp 245 Juta Total,Rp 1 Jutaan (Tenor 20 Tahun),TANAH KAVLING SIAP BANGUN di PAKIS,Malang,,,,70 m²,
"Rp 1,6 Miliar",Rp 8 Jutaan (Tenor 20 Tahun),Rumah Bsd Siap Huni Dekat Pasmod Dan Stasiun Rawabuntu Tidak Banjir Nego Sampe Deal.,Tangerang,4,3,1,135 m²,176 m²
"Rp 4,5 Miliar",Rp 23 Jutaan (Tenor 20 Tahun),Dijual Cepat Rumah Taman Bona Indah Lebak Bulus 2lantai Siap Huni Lokasi Startegi Dekat Mrt.,Jakarta Selatan,,4,2,196 m²,200 m²
"Rp 2,75 Miliar",Rp 14 Jutaan (Tenor 20 Tahun),Rumah Pik Brand New Konsep Modern Minimalis,Jakarta Utara,4,4,,75 m²,120 m²
Rp 8 Miliar,Rp 41 Jutaan (Tenor 20 Tahun),RUMAH MEWAH FULL FURNISHED di RIVERSIDE,Malang,4,4,,325 m²,600 m²
"Rp 2,75 Miliar",Rp 14 Jutaan (Tenor 20 Tahun),Murah Mewah Rumah Cluster 3 Lantai Minimalis Modern Siap Huni,Jakarta Selatan,5,3,1,95 m²,200 m²
Rp 25 Juta /m²,Rp 130 Ribuan (Tenor 20 Tahun),Jual Tanah Luas 2500m2 Bonus Rumah di Lokasi Strategis,Jakarta Selatan,,,,2500 m²,
Rp 475 Juta,Rp 2 Jutaan (Tenor 20 Tahun),Apartemen Taman Melati Furnished,Depok,,1,,,27 m²
"Rp 1,8 Miliar",Rp 9 Jutaan (Tenor 20 Tahun),REVISI HARGA!! RUMAH TERAWAT di VILLA PUNCAK TIDAR,Malang,3,2,,180 m²,100 m²
"Rp 2,67 Miliar",Rp 13 Jutaan (Tenor 20 Tahun),"Dijual rumah bintaro jaya, graha bintaro Lokasi sangat premium",Jakarta Selatan,2,1,1,160 m²,90 m²
"Rp 2,6 Miliar",Rp 13 Jutaan (Tenor 20 Tahun),Rumah Baru 2 Lantai Dengan Lokasi Strategis Di Griyaloka BSD,Tangerang,4,3,2,162 m²,288 m²
"Rp 1,3 Miliar",Rp 6 Jutaan (Tenor 20 Tahun),Dijual rumah graha bintaro  Bintaro jaya  Jalak Bali,Jakarta Selatan,4,3,1,72 m²,140 m²
"Rp 20,5 Miliar",Rp 105 Jutaan (Tenor 20 Tahun),"DIJUAL RUMAH PONDOK INDAH, JAKARTA SELATAN. HARGA UNDER MARKET",Jakarta Selatan,4,4,3,554 m²,646 m²
