price,installment,title,location,bedroom,bathroom,garage,land_area,building_area
Rp 300 Juta,Rp 1 Jutaan (Tenor 20 Tahun),"Hunian Mewah Di Kawasan Strategis, Citayam, Depok",Depok,3,2,1,50 m²,60 m²
Rp 30 Miliar,Rp 154 Jutaan (Tenor 20 Tahun),Rumah Mewah  Permata Hijau Jln Emas Blok D.jakarta Selatan Lt 770m2 Hit Tanah 45jt/M2 Murah,Jakarta Selatan,5,4,2,770 m²,810 m²
Rp 525 Juta,Rp 2 Jutaan (Tenor 20 Tahun),Rumah Minimalis Siap Huni Strategis & Bebas Banjir Cukup 2jt Alin,Bekasi,2,1,1,72 m²,36 m²
"Rp 3,2 Juta /m²",Rp 20 Ribuan (Tenor 20 Tahun),Tanah Darat Siap Progres Sangat Strategis Di Jalan Raya Propinsi,Bekasi,,,,10220 m²,
"Rp 2,55 Miliar",Rp 13 Jutaan (Tenor 20 Tahun),Rumah Premium Mewah Strategis Dekat Toll Dan Busway Di Jaktim,Jakarta Timur,4,3,2,101 m²,170 m²
"Rp 1,4 Miliar",Rp 7 Jutaan (Tenor 20 Tahun),"Rumah Higq Qulifed Ready Unit Dekat Busway, Toll Dan Lrt",Bekasi,4,2,2,114 m²,100 m²
"Rp 1,4 Miliar",Rp 7 Jutaan (Tenor 20 Tahun),Rumah Mewah Tanah Luas Dan Siap Huni Dekat Toll&lrt Dp 0%,Bekasi,4,2,2,114 m²,100 m²
Rp 889 Juta,Rp 4 Jutaan (Tenor 20 Tahun),Rumah Mewah Minimalis 2 Lantai View Danau Tanpa Dp Di Depok,Depok,3,2,2,90 m²,62 m²
Rp 500 Juta,Rp 2 Jutaan (Tenor 20 Tahun),"Rumah Siap Huni Tanah Luas Dalam Cluster Asri Nyaman,bebas Banjir",Bekasi,2,1,1,71 m²,36 m²
"Rp 1,8 Miliar",Rp 9 Jutaan (Tenor 20 Tahun),"Rumah di Cluster libersa premier bekasi, Bekasi Timur",Bekasi,4,3,2,144 m²,100 m²
Rp 293 Juta,Rp 1 Jutaan (Tenor 20 Tahun),Rumah Murah Dekat Sman 31 Kayumanis Jakarta Timur,Jakarta Timur,1,1,,15 m²,29 m²
"Rp 1,3 Miliar",Rp 6 Jutaan (Tenor 20 Tahun),"Dijual Apartemen Ambasador 2, Itc Kuningan, Jakarta",Jakarta Selatan,2,2,,,88 m²
"Rp 3,07 Miliar",Rp 15 Jutaan (Tenor 20 Tahun),Rumah Minimalis Premium Termurah di Cluster Btari Summarecon Bandung,Bandung,4,3,1,180 m²,215 m²
"Rp 8,75 Miliar",Rp 45 Jutaan (Tenor 20 Tahun),Cluster Premium Di Villa Cinere Mas < 10 Menit Ke Tol J O R R Tb Simatupang,Jakarta Selatan,4,3,2,547 m²,550 m²
Rp 35 Miliar Total,Rp 180 Jutaan (Tenor 20 Tahun),Gudang Lahan Luas Harga Murah Di Sidoarjo,Sidoarjo,,1,,4413 m²,1000 m²
"Rp 3,4 Miliar",Rp 17 Jutaan (Tenor 20 Tahun),Rumah Baru 2 Lantai Bintaro Sektor 9,Tangerang Selatan,4,3,2,147 m²,155 m²
"Rp 7,9 Miliar",Rp 40 Jutaan (Tenor 20 Tahun),Rumah Classic Siap Huni Murah Pakuwon Indah Surabaya Barat,Surabaya,4,4,2,375 m²,550 m²
Rp 25 Miliar Total,Rp 128 Jutaan (Tenor 20 Tahun),pabrik area cikarang luas 5000m bagus dan layak pakai masih nego,Bekasi,,1,,5000 m²,1250 m²
"Rp 4,1 Miliar",Rp 21 Jutaan (Tenor 20 Tahun),Rumah Bagus Pancoran Turun Harga 4.7m Ke 4.1m,Jakarta Selatan,3,3,1,136 m²,300 m²
Rp 45 Miliar,Rp 231 Jutaan (Tenor 20 Tahun),Jl Brigjen Sudiarto [majapahit] Bawah Njop,Semarang,,2,,3880 m²,1000 m²
Rp 899 Juta,Rp 4 Jutaan (Tenor 20 Tahun),Rumah Modern Bali Murah | Pinggir Jalan | Tanpa DP | Bebas Biaya2 | 15mnt ke LRT Harjamukti,Depok,3,2,2,80 m²,73 m²
"Rp 2,5 Miliar Total",Rp 12 Jutaan (Tenor 20 Tahun),"Ruko 3,5 lt Grand Galaxy, Hoek, Pinggir Jalan Raya.",Bekasi,,3,2,72 m²,216 m²
"Rp 2,95 Miliar",Rp 15 Jutaan (Tenor 20 Tahun),Kingspoint Residence. Dekat Summarecon. Posisi hoek depan clubhouse cluster.,Bekasi,4,4,1,192 m²,216 m²
Rp 3 Miliar,Rp 15 Jutaan (Tenor 20 Tahun),Golf Lake Residence. Rumah 2 lt Siap Huni Dekat Bandara Soetta.,Jakarta Barat,3,3,2,90 m²,124 m²
"Rp 1,8 Miliar",Rp 9 Jutaan (Tenor 20 Tahun),Jual Rumah Kosambi Baru Dekat Semanan Siao Huni,Jakarta Barat,3,2,1,90 m²,123 m²
Rp 4 Miliar,Rp 20 Jutaan (Tenor 20 Tahun),Rumah Lokasi Strategis Rawamangun 224m2,Jakarta Timur,5,3,1,224 m²,280 m²
"Rp 1,8 Miliar",Rp 9 Jutaan (Tenor 20 Tahun),Jual Rumah Citra 3 Hadap Tenggara Bebas Banjir Akses Mudah,Jakarta Barat,2,2,1,90 m²,120 m²
"Rp 13,5 Miliar",Rp 69 Jutaan (Tenor 20 Tahun),"Tebet Dalam Komplek Jepang, Akses Jalan 3 Mobil, Lingkungan Nyaman",Jakarta Selatan,4,3,,396 m²,400 m²
"Rp 1,98 Miliar",Rp 10 Jutaan (Tenor 20 Tahun),"Rumah Baru 2 Lantai Dekat Level 21 Jl, Teuku Umar Denpasar Bali",Denpasar,3,3,2,96 m²,116 m²
"Rp 5,5 Miliar",Rp 28 Jutaan (Tenor 20 Tahun),Rumah 2 Lantai Lokasi Premium Strategis,Jakarta Selatan,4,3,1,246 m²,155 m²
Rp 4 Miliar,Rp 20 Jutaan (Tenor 20 Tahun),Jual Rumah Besar Harga Murah!!!,Tangerang,4,3,1,300 m²,225 m²
"Rp 1,9 Miliar",Rp 9 Jutaan (Tenor 20 Tahun),Villa Butuh Uang Luas 420.0 M² Shm Songoriti Batu,Malang,8,8,,420 m²,350 m²
Rp 4 Miliar,Rp 20 Jutaan (Tenor 20 Tahun),Jual Cepat!!! Apartemen Fully Furnished!!!,Jakarta Utara,2,2,,,113 m²
"Rp 2,7 Miliar",Rp 13 Jutaan (Tenor 20 Tahun),Dijual Rumah Siap Huni di Green Garden Jakarta Barat,Jakarta Barat,4,2,2,144 m²,250 m²
"Rp 1,25 Miliar",Rp 6 Jutaan (Tenor 20 Tahun),Rumah Baru 1 M-an Tanjung Duren Sisa 1 Unit,Jakarta Barat,3,3,,40 m²,115 m²
Rp 2 Miliar,Rp 10 Jutaan (Tenor 20 Tahun),Rumah.tua Pejaten Timur Hak Milik Luas 185.harga 2.miliar,Jakarta Selatan,2,1,2,185 m²,170 m²
Rp 485 Juta,Rp 2 Jutaan (Tenor 20 Tahun),Dijual Rumah Exclusive di Gamping Sleman Yogyakarta,Sleman,2,1,1,108 m²,42 m²
"Rp 2,4 Miliar",Rp 12 Jutaan (Tenor 20 Tahun),"TEBET TIMUR 130 M2, RUMAH SIAP HUNI AKSES MUDAH",Jakarta Selatan,4,2,2,130 m²,150 m²
"Rp 6,2 Miliar",Rp 31 Jutaan (Tenor 20 Tahun),Rumah Mewah Posisi Hook di Disocvery Bintaro,Tangerang Selatan,5,4,3,206 m²,340 m²
Rp 450 Juta,Rp 2 Jutaan (Tenor 20 Tahun),Dijual 2 Bedroom Hoek Apartemen Tokyo Riverside View Laut Unfurnished,Jakarta Utara,2,1,,,38 m²
"Rp 10,5 Miliar",Rp 54 Jutaan (Tenor 20 Tahun),Unit Penthouse St Moritz Connect Lippo Mall Puri 317m2 Fully Furnished,Jakarta Barat,3,4,,,317 m²
Rp 4 Miliar,Rp 20 Jutaan (Tenor 20 Tahun),Unit Langka Paling Murah 3BR 129m2 Sangat Cantik di Casa Grande Phase 2  Kokas,Jakarta Selatan,2,2,,,129 m²
"Rp 2,4 Miliar",Rp 12 Jutaan (Tenor 20 Tahun),Rumah Rapi Dan Terawat The Icon Caspia Bsd City,Tangerang,4,3,1,128 m²,250 m²
Rp 16 Juta,Rp 90 Ribuan (Tenor 20 Tahun),Tanah Canggu - Kayu Tulang Utara di Canggu,Badung,,,,268 m²,
"Rp 5,5 Miliar",Rp 28 Jutaan (Tenor 20 Tahun),"Rumah Classic 2 Lantai Bagus di Kemang Pratama Regency, Bekasi",Bekasi,5,4,2,450 m²,376 m²
"Rp 7,9 Miliar",Rp 40 Jutaan (Tenor 20 Tahun),"Rumah De Maja Bsd Termurah , Swimming Pool Semi Furnished Lokasi Strategis",Tangerang,4,3,1,300 m²,270 m²
"Rp 4,8 Miliar",Rp 24 Jutaan (Tenor 20 Tahun),Rumah 3 Lantai di Puri 11 Heritage Residence 9 Corner Tangerang,Tangerang,4,3,2,148 m²,225 m²
Rp 53 Miliar,Rp 272 Jutaan (Tenor 20 Tahun),For Sale Rumah Di Mega Kuningan. Dibawah Njop Jakarta Selatan,Jakarta Selatan,8,7,8,1039 m²,1500 m²
Rp 25 Miliar,Rp 128 Jutaan (Tenor 20 Tahun),"TURUN HARGA, RUMAH MEWAH BESAR DI ANCOL,LUAS 20X30 3LANTAI, SEMI FURNISH JARANG ADA, BISA KPR",Jakarta Utara,8,7,5,600 m²,1415 m²
"Rp 1,5 Miliar",Rp 7 Jutaan (Tenor 20 Tahun),Jual Cepet Rumah 170m2 bebas banjir akses 2 mobil,Jakarta Timur,2,2,1,120 m²,170 m²
"Rp 2,7 Miliar",Rp 13 Jutaan (Tenor 20 Tahun),Rumah Baru 3 Lantai Siap Huni Di Joglo Kembangan Jakarta Barat,Jakarta Barat,4,5,2,125 m²,200 m²
Rp 7 Miliar,Rp 36 Jutaan (Tenor 20 Tahun),Villa Minimalis Modern 3 Bed Room Shm Di Jalan Bumbak Umalas Bali,Badung,3,3,1,250 m²,200 m²
"Rp 1,45 Miliar",Rp 7 Jutaan (Tenor 20 Tahun),Dijual Murah Rumah di Tanjung Duren selatan 2,Jakarta Barat,6,5,,52 m²,120 m²
Rp 995 Juta,Rp 5 Jutaan (Tenor 20 Tahun),Rumah Baru Di Jaten Pedurungan Gaya Scandinavian Shm Hadap Utara,Semarang,3,2,,120 m²,90 m²
"Rp 4,2 Miliar",Rp 21 Jutaan (Tenor 20 Tahun),"DIJUAL RUMAH CANTIK SEKTOR 1D, GADING SERPONG",Tangerang,3,4,,200 m²,380 m²
"Rp 4,3 Miliar",Rp 22 Jutaan (Tenor 20 Tahun),RUMAH MEWAH LUX 2 LANTAI ISTIMEWA DALAM PERUMAHAN ELITE BALE MULIA  - JOMBOR MLATI SLEMAN,Sleman,4,3,2,210 m²,240 m²
"Rp 3,8 Juta /m²",Rp 20 Ribuan (Tenor 20 Tahun),"Tanah Pekarangan Area Palagan, Harga Murah View Sawah",Sleman,,,,150 m²,
"Rp 1,95 Miliar",Rp 10 Jutaan (Tenor 20 Tahun),"Kondominium Taman Anggrek, 2+1 Bedrooms, Design Mewah",Jakarta Barat,2,1,,,88 m²
"Rp 2,35 Miliar",Rp 12 Jutaan (Tenor 20 Tahun),Rumah Asia Tropis Di Komplek Griya Bintara Indah,Bekasi,6,5,1,200 m²,265 m²
Rp 995 Juta,Rp 5 Jutaan (Tenor 20 Tahun),Kpr Rumah Condet House,Jakarta Timur,3,2,1,46 m²,73 m²
"Rp 3,67 Miliar",Rp 18 Jutaan (Tenor 20 Tahun),"Eksklusif Listing rumah Villa Riviera, Pakuwon City Surabaya timur",Surabaya,3,3,2,250 m²,260 m²
Rp 2 Miliar,Rp 10 Jutaan (Tenor 20 Tahun),Rumah Baru 2 Lantai Di Tirtomartani Pinggir Jalan Utama Dekat Smpn 1 Kalasan Dan Rs Bhayangkara,Sleman,5,4,1,156 m²,210 m²
"Rp 2,2 Miliar",Rp 11 Jutaan (Tenor 20 Tahun),"Dijual Rumah Kencana Loka di BSD, Tangerang",Tangerang,3,2,1,200 m²,150 m²
Rp 6 Juta /m²,Rp 40 Ribuan (Tenor 20 Tahun),"6 Juta per Meter, Luas Tanah 1.1 Hektar, Siap Pakai, Gudang di Marunda, Jakarta Utara",Jakarta Utara,,1,,11000 m²,5000 m²
Rp 6 Miliar,Rp 30 Jutaan (Tenor 20 Tahun),"APARTEMEN WANG RESIDENCE, FULL FURNISHED",Jakarta Barat,3,2,,,170 m²
"Rp 8,8 Miliar",Rp 45 Jutaan (Tenor 20 Tahun),"Rumah Mewah Greencove Bsd, Brand New Bangunan Mandiri , Layout Maksimal",Tangerang,4,4,,249 m²,416 m²
"Rp 2,19 Miliar",Rp 11 Jutaan (Tenor 20 Tahun),Best Buy!!! Rumah Villa Nyaman Cluster Kawasan Elite Cigadung Dekat Dago,Bandung,3,2,1,105 m²,120 m²
Rp 198 Juta Total,Rp 1 Jutaan (Tenor 20 Tahun),"Pas Untuk Villa dan Homestay di Area Borobudur, Magelang",Magelang,,,,90 m²,
Rp 700 Juta,Rp 3 Jutaan (Tenor 20 Tahun),Rumah Baru 2 Lantai Jaya Harmoni Sidoarjo,Sidoarjo,4,2,1,83 m²,80 m²
"Rp 1,58 Miliar",Rp 8 Jutaan (Tenor 20 Tahun),Rumah Kost 3lantai Shm Full Furnished 500 Meter Ipb Dramaga Bogor,Bogor,8,8,1,66 m²,136 m²
Rp 13 Juta /m²,Rp 70 Ribuan (Tenor 20 Tahun),Lokasi Sangat Bagus Lahan Komersil Jual Cepat,Medan,,2,,13 m²,4 m²
Rp 350 Ribu /m²,Rp 10 Ribuan (Tenor 20 Tahun),Dijual Tanah Di Sukaresmi Bogor Jawa Barat 54ha,Bogor,,,,540000 m²,
"Rp 1,85 Miliar",Rp 9 Jutaan (Tenor 20 Tahun),"Rumah 2 Lantai Modern Harga Terjangkau Di Taman Surya 5, Kamu Nggak Penasaran? Rumah Bagus HGB di Jl. Taman Surya 5, Pegadungan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Taman Surya",Jakarta Barat,2,2,1,80 m²,98 m²
Rp 868 Juta,Rp 4 Jutaan (Tenor 20 Tahun),Rumah 2 lantai dgn 3 kamar tidur free biaya pajak,Malang,3,2,1,84 m²,65 m²
"Rp 3,8 Miliar",Rp 19 Jutaan (Tenor 20 Tahun),@ For Sale Villa Ubud Lodtunduh Gianyar,Gianyar,2,2,,250 m²,158 m²
"Rp 4,2 Juta /m²",Rp 30 Ribuan (Tenor 20 Tahun),"Jual Murah Tanah Jogja Dekat Kampus UKRIM, Tepi Jalan",Yogyakarta,,,,198 m²,
Rp 700 Juta,Rp 3 Jutaan (Tenor 20 Tahun),"Jual Rumah Medan City Suites 4 Kamar Semi Furnished Rumah Bagus SHM di Jl. Gatot Subroto, Sei Sikambing C. II, Kec. Medan Helvetia, Kota Medan, Sumatera Utara, Medan Sunggal",Medan,4,2,1,80 m²,120 m²
"Rp 1,05 Miliar",Rp 5 Jutaan (Tenor 20 Tahun),Rumah Bebas Banjir Lokasi Strategis di Lavisa 7 Tangerang,Tangerang,5,4,1,108 m²,101 m²
"Rp 2,5 Miliar",Rp 12 Jutaan (Tenor 20 Tahun),Rumah di Rawamangun dekat Mall Arion dan LRT Rawamangun,Jakarta Pusat,3,3,2,84 m²,110 m²
"Rp 2,1 Miliar",Rp 10 Jutaan (Tenor 20 Tahun),Rumah Kost Aktif Full Furnished di Tanah Mas Semarang,Semarang,14,14,,120 m²,200 m²
"Rp 3,5 Miliar Total",Rp 18 Jutaan (Tenor 20 Tahun),Murah Banget Gudang 2 Lantai Di Tanah Mas Semarang Utara,Semarang,,1,,480 m²,900 m²
"Rp 6,9 Miliar Total",Rp 35 Jutaan (Tenor 20 Tahun),DIJUAL CEPAT TANAH SIAP BANGUN DI KEB BARU JAK SEL,Jakarta Selatan,,,,196 m²,
Rp 9 Miliar Total,Rp 46 Jutaan (Tenor 20 Tahun),Ruko Tengah Kota di Seteran Cocok Untuk Usaha Resto atau Klinik,Semarang,,4,,220 m²,300 m²
"Rp 2,7 Miliar",Rp 13 Jutaan (Tenor 20 Tahun),Dijual Bawah Njop Apartemen Soho Di Pancoran Jakarta Selatan,Jakarta Selatan,2,2,,,109 m²
"Rp 2,39 Miliar",Rp 12 Jutaan (Tenor 20 Tahun),RUMAH DURI NIRMALA 4X18M 3 LANTAI,Jakarta Barat,4,4,,72 m²,190 m²
"Rp 1,5 Miliar",Rp 7 Jutaan (Tenor 20 Tahun),RUMAH TAMAN SURYA 6X12M 2 LANTAI,Jakarta Barat,2,2,,72 m²,78 m²
"Rp 1,35 Miliar",Rp 6 Jutaan (Tenor 20 Tahun),Rumah Mewah Dalam.komplek.harga Bawah Njop,Cimahi,5,4,2,241 m²,180 m²
Rp 12 Miliar,Rp 61 Jutaan (Tenor 20 Tahun),"Kavling Villa di Puncak, Pinggir Jalan Raya dibawah NJOP Sekali",Bogor,5,5,,15490 m²,2243 m²
Rp 700 Juta,Rp 3 Jutaan (Tenor 20 Tahun),Royal Medit Unit STUDIO Full Furnish Turun Harga Bisa KPA,Jakarta Barat,1,1,,,30 m²
"Rp 17,7 Miliar Total",Rp 91 Jutaan (Tenor 20 Tahun),"Dijual Cepat Tanah NGANTONG di Kemang, Jaksel HARGA NJOP",Jakarta Selatan,,,,966 m²,
"Rp 1,5 Juta /m²",Rp 10 Ribuan (Tenor 20 Tahun),Dijual Murah Tanah Dekat Tol Bandung Cocok Untuk Gudang &industri,Bandung Barat,,,,5000 m²,
"Rp 1,55 Miliar Total",Rp 7 Jutaan (Tenor 20 Tahun),Dijual Murah Gudang Siap Pakai Dekat Tol Kawasan Industri Bandung,Bandung,,1,2,200 m²,150 m²
"Rp 2,1 Miliar",Rp 10 Jutaan (Tenor 20 Tahun),"Permata Hijau, Apartemen Belleza, Bawah Njop, Dekat Ke Sudirman, 3 Kamar Tidur, 2 Kamar Mandi, 1 Kamar Staff, 2 Balcony",Jakarta Selatan,3,2,,,122 m²
"Rp 1,85 Miliar",Rp 9 Jutaan (Tenor 20 Tahun),Dijual Rumah Di Tki 3 Bandung Lingkungan Aman Fasilitas Lengkap,Bandung,2,2,1,105 m²,87 m²
Rp 7 Miliar,Rp 36 Jutaan (Tenor 20 Tahun),Hunian Luas dan Nyaman di Seturan,Sleman,7,4,,800 m²,270 m²
Rp 725 Juta,Rp 3 Jutaan (Tenor 20 Tahun),Dijual Rumah Murah Terawat Didalam Cluster One Get System Di Cisaranten Arcamanik,Bandung,2,1,1,90 m²,50 m²
"Rp 1,9 Miliar",Rp 9 Jutaan (Tenor 20 Tahun),Rumah 2 Lantai dalam Perumahan Green Garden Godean,Yogyakarta,4,3,,167 m²,190 m²
"Rp 1,6 Miliar",Rp 8 Jutaan (Tenor 20 Tahun),Rumah Shm Di Kalideres 1.5lantai Pebar 8 Termurah,Jakarta Barat,3,2,2,120 m²,120 m²
"Rp 1,75 Miliar",Rp 9 Jutaan (Tenor 20 Tahun),Rumah tua hitung tanah harga murah di Rawamangun,Jakarta Timur,4,2,,153 m²,210 m²
"Rp 1,35 Miliar",Rp 6 Jutaan (Tenor 20 Tahun),"Rumah Villa Melati Mas (1 Lantai), Sangat@dejat@pintu Toll Jelupang. Dekat Alam Sutera Dan Bsd",Tangerang Selatan,3,2,1,112 m²,100 m²
"Rp 14,2 Miliar",Rp 73 Jutaan (Tenor 20 Tahun),"Lokasi Terbaik, Rumah Hitung Tanah (dimensi L 16 X P 29), Tebet Barat",Jakarta Selatan,6,5,2,466 m²,500 m²
Rp 650 Juta,Rp 3 Jutaan (Tenor 20 Tahun),Rumah Siap Huni Dekat Stasiun Cisauk Dan Toll Bsd,Tangerang,2,1,1,70 m²,42 m²
"Rp 1,5 Miliar",Rp 7 Jutaan (Tenor 20 Tahun),Dijual Rumah Di Griyaloka Bsd Dekat Dengan Pintu Toll,Tangerang,3,2,1,112 m²,72 m²
"Rp 2,8 Juta /m²",Rp 20 Ribuan (Tenor 20 Tahun),Dijual Tanah Babelan Bekasi,Bekasi,,,,2478 m²,
"Rp 1,69 Miliar",Rp 8 Jutaan (Tenor 20 Tahun),Griya Loka Bsd Rumah Bagus Rapi Sangat Terawat Siap Huni,Tangerang,3,2,2,120 m²,110 m²
"Rp 4,2 Miliar",Rp 21 Jutaan (Tenor 20 Tahun),Dijual Rumah Mewah Villa Panbil,Batam,3,3,1,248 m²,242 m²
Rp 350 Juta /are,Rp 1 Jutaan (Tenor 20 Tahun),Dijual Lahan Los Sungai Lokasi Ubud View Sawah Sungai Dan Jungle,Gianyar,,,,1370 m²,
"Rp 3,25 Miliar",Rp 16 Jutaan (Tenor 20 Tahun),Dijual Villa Ubud Di Jalur Pariwisata Lokasi Dekat Central Ubud,Gianyar,2,2,,228 m²,170 m²
"Rp 2,85 Miliar",Rp 14 Jutaan (Tenor 20 Tahun),Brand New Villa For Sale! This Property Is Located At Ubud,Gianyar,2,2,1,157 m²,150 m²
"Rp 19,5 Miliar",Rp 100 Jutaan (Tenor 20 Tahun),Dijual Rumah Di Tegallalang Shm Dan Imb Parkiran Besar,Gianyar,4,4,,1500 m²,975 m²
"Rp 5,35 Miliar",Rp 27 Jutaan (Tenor 20 Tahun),"Jual Cepat Murah Rumah Cantik, Rapi Dan Mewah Cluster Mediterranean Central Lippo Karawaci Ada Ruang Terbuka Luas Di Belakang Sirkulasi Udara Sangat Bagus",Tangerang,4,3,1,288 m²,231 m²
Rp 3 Miliar,Rp 15 Jutaan (Tenor 20 Tahun),Villa Baru Modern Private Pool 4 Kamar Dekat Pantai Sanur,Denpasar,4,3,1,150 m²,200 m²
"Rp 2,3 Miliar",Rp 11 Jutaan (Tenor 20 Tahun),DIJUAL RUMAH GRAHA PADMA TAMAN ALAMANDA,Semarang,3,2,2,200 m²,180 m²
"Rp 4,85 Miliar",Rp 24 Jutaan (Tenor 20 Tahun),"Kost Aktif 29kamar Jual Cepat Manyar Surabaya, 520jt per tahun",Surabaya,29,29,,150 m²,450 m²
Rp 555 Juta,Rp 2 Jutaan (Tenor 20 Tahun),Murah Banget!! Rumah Tanahnya 183m  Ada Sisa Tanah Luas Di Jogja,Sleman,2,1,1,183 m²,50 m²
"Rp 5,4 Miliar",Rp 27 Jutaan (Tenor 20 Tahun),"Banting Harga!! Rumah Induk Dan Ruang Usaha Di Jual..5 Menit Saja Ke Kampus Uii, Upn, Amikom..sangat Strategis",Sleman,7,8,6,482 m²,700 m²
"Rp 9,9 Miliar Total",Rp 50 Jutaan (Tenor 20 Tahun),"TANAH DI DAERAH TULAMBEN KARANG ASEM BALI, VIEW LAUT DAN GUNUNG",Karangasem,,,,22000 m²,
"Rp 5,63 Miliar",Rp 28 Jutaan (Tenor 20 Tahun),"RUMAH BARU RENOV, SIAP HUNI DI MARGOREJO INDAH SURABAYA",Surabaya,4,2,2,292 m²,500 m²
"Rp 4,2 Miliar",Rp 21 Jutaan (Tenor 20 Tahun),Dijual Rumah Modern di Muara Karang,Jakarta Utara,4,3,1,120 m²,200 m²
Rp 430 Juta,Rp 2 Jutaan (Tenor 20 Tahun),Rumah 1 Lantai Sedati Sidoarjo Dekat Juanda,Sidoarjo,2,1,1,72 m²,36 m²
"Rp 39,9 Miliar Total",Rp 205 Jutaan (Tenor 20 Tahun),Tanah Darat Siap Bangun SHM 3.060 m² di Rawamangun Jaktim,Jakarta Timur,,,,3060 m²,
"Rp 4,5 Miliar",Rp 23 Jutaan (Tenor 20 Tahun),Dijual Cepat. Ruko Di Kh. Zainul Arifin. Ketapang. Jakpus,Jakarta Pusat,,5,,83 m²,370 m²
"Rp 18,9 Miliar",Rp 97 Jutaan (Tenor 20 Tahun),Apartemen Mewah Raffles Residence Murah di Scbd Kuningan Jaksel,Jakarta Selatan,3,3,,,437 m²
"Rp 3,1 Miliar",Rp 15 Jutaan (Tenor 20 Tahun),Jual Segera Apartemen Gandaria Height. Fully. Furnished,Jakarta Selatan,3,2,,,117 m²
"Rp 3,1 Miliar",Rp 15 Jutaan (Tenor 20 Tahun),Lloyd 3 Br Lantai 1 Deket Lobby Alam Sutera,Tangerang,3,3,,,150 m²
"Rp 1,07 Miliar",Rp 5 Jutaan (Tenor 20 Tahun),"Rumah Cantik Di.hook, Kondisi.bagus. Di Bawah Harga Pasar",Bekasi,2,1,1,90 m²,85 m²
"Rp 1,8 Miliar",Rp 9 Jutaan (Tenor 20 Tahun),"Rumah 3 Lantai Bagus Unfurnished SHM di Harapan Indah, Bekasi",Bekasi,5,4,1,152 m²,462 m²
"Rp 7,9 Miliar",Rp 40 Jutaan (Tenor 20 Tahun),Rumah Hook 2 Lantai Tanjung Duren Jakarta Barat Siap Huni,Jakarta Barat,4,3,1,198 m²,300 m²
