price,installment,title,location,bedroom,bathroom,garage,land_area,building_area
"Rp 2,3 Miliar",Rp 11 Jutaan (Tenor 20 Tahun),Dijual Rumah 2lantai Di Puri Bintaro Sektor 9 Tangsel,Tangerang Selatan,3,2,1,150 m²,120 m²
"Rp 1,8 Miliar",Rp 9 Jutaan (Tenor 20 Tahun),Rumah Murah  Di Sentul City Cluster Di Sentul City,Bogor,3,3,1,126 m²,120 m²
"Rp 1,9 Juta /m²",Rp 10 Ribuan (Tenor 20 Tahun),"Di Jual Tanah Kavling Modern Industrial Cikande serang, Banten",Serang,,,,4800 m²,
"Rp 1,87 Miliar",Rp 9 Jutaan (Tenor 20 Tahun),Di Jual Villa Cluster Konsep Santorini Di Pecatu,Badung,2,2,,116 m²,70 m²
"Rp 2,35 Miliar",Rp 12 Jutaan (Tenor 20 Tahun),Rumah Dijual Taman Ratu Brand New Minimalis- LT 60m2,Jakarta Barat,4,4,2,60 m²,190 m²
Rp 725 Juta,Rp 3 Jutaan (Tenor 20 Tahun),Jual.tanah.100.m2 Lokasi.menarik.jqtibening Bebas Banjir.,Bekasi,,,,100 m²,
"Rp 4,95 Miliar",Rp 25 Jutaan (Tenor 20 Tahun),Lelang Kebayoran Baru Jaksel H 5.35milyar All In Psrn 10milyar,Jakarta Selatan,4,4,3,441 m²,310 m²
"Rp 3,99 Miliar",Rp 20 Jutaan (Tenor 20 Tahun),[ Cipete Akses 2 Mobil ] Lingkungan Tenang Dan Asri,Jakarta Selatan,3,3,2,180 m²,180 m²
Rp 18 Miliar,Rp 92 Jutaan (Tenor 20 Tahun),"( Harga Dibawah Njop ) Tebet Raya, Komersial K3",Jakarta Selatan,6,4,5,575 m²,300 m²
Rp 550 Ribu /m²,Rp 10 Ribuan (Tenor 20 Tahun),"Tanah Lokasi Favorit 10menit Dari.pintu Toll.caringin Bogor.view Gunung,nempel Kali Tanah di Caringin 7500.0 m² Girik",Bogor,,,,7500 m²,
"Rp 1,04 Miliar",Rp 5 Jutaan (Tenor 20 Tahun),Rumah 2 Lantai Furnished Siap Huni Di Pancoran Mas Depok,Depok,3,3,2,66 m²,100 m²
Rp 660 Juta,Rp 3 Jutaan (Tenor 20 Tahun),Rumah Modern Murah Dekat Stasiun Kereta Api,Bogor,3,2,1,90 m²,53 m²
Rp 13 Juta /m²,Rp 70 Ribuan (Tenor 20 Tahun),Kavling Komersial Jl. Kisamaun Tangerang Kota,Tangerang,,,,1840 m²,
"Rp 1,4 Miliar",Rp 7 Jutaan (Tenor 20 Tahun),Rumah Baru 2 Lantai Full Furnished Dekat Kampus Umy,Sleman,3,2,2,103 m²,95 m²
"Rp 1,85 Miliar Total",Rp 9 Jutaan (Tenor 20 Tahun),"Ruko 2,5 Lantai , Jual Cepat (nego)",Jakarta Timur,,3,,55 m²,90 m²
Rp 985 Juta,Rp 5 Jutaan (Tenor 20 Tahun),Rumah Bata Merah Dekat Mabes Cipayung Jakarta Timur,Jakarta Timur,3,2,2,60 m²,75 m²
