price,installment,title,location,bedroom,bathroom,garage,land_area,building_area
Rp 15 Miliar,Rp 77 Jutaan (Tenor 20 Tahun),Brand New House Kebayoran Baru,Jakarta Selatan,4,2,2,307 m²,360 m²
"Rp 7,2 Miliar",Rp 37 Jutaan (Tenor 20 Tahun),Rumah Lama Butuh Renovasi Area Kebayoran Baru Lokasi Strategis,Jakarta Selatan,6,2,2,215 m²,250 m²
Rp 48 Miliar,Rp 246 Jutaan (Tenor 20 Tahun),Rumah Besar 2lantai Dengan Kolam Renang Dekat Darma Square,Jakarta Selatan,5,4,3,656 m²,878 m²
Rp 19 Miliar,Rp 97 Jutaan (Tenor 20 Tahun),Rumah Lama Butuh Renovasi Area Kebayoran Baru,Jakarta Selatan,8,5,2,382 m²,500 m²
Rp 15 Miliar,Rp 77 Jutaan (Tenor 20 Tahun),Cipete Selatan Modern Home Lokasi Strategis,Jakarta Selatan,4,3,4,420 m²,400 m²
"Rp 2,6 Miliar",Rp 13 Jutaan (Tenor 20 Tahun),Jual Rumah Batununggal Bandung,Bandung,4,3,1,134 m²,160 m²
Rp 74 Miliar,Rp 380 Jutaan (Tenor 20 Tahun),Rumah Besar 2lantai Lokasi Pinggir Jalan Cocok Utk Usaha Dan Kantor,Jakarta Selatan,5,4,10,1017 m²,450 m²
Rp 18 Miliar,Rp 92 Jutaan (Tenor 20 Tahun),Rumah Besa2lantai Lokasi Pinggir Jalan Cocok Usaha Jagakarsa,Jakarta Selatan,4,4,4,1580 m²,600 m²
"Rp 8,5 Miliar",Rp 43 Jutaan (Tenor 20 Tahun),Rumah Modern 3lantai Dengan Private Kolam Renang Cilandak,Jakarta Selatan,3,2,2,152 m²,242 m²
Rp 39 Miliar,Rp 200 Jutaan (Tenor 20 Tahun),Rumah Lama Lokasi Premium Cocok Utk Usaha Dan Kantor Menteng,Jakarta Pusat,4,1,4,760 m²,450 m²
"Rp 1,5 Juta",Rp 10 Ribuan (Tenor 20 Tahun),Tanah Kavling Di Klapanunggal Cileungsi Jawa Barat,Bogor,,,,7783 m²,
"Rp 1,7 Juta /m²",Rp 10 Ribuan (Tenor 20 Tahun),Tanah Kavling Luas di Villa Gunung Buring Kedungkandang Malang,Malang,,,,957 m²,
Rp 900 Juta,Rp 4 Jutaan (Tenor 20 Tahun),"DIJUAL RUMAH DI MUTIARA PANDERMAN RESIDENCE, ORO ORO OMBO, BATU",Batu,3,2,1,115 m²,85 m²
Rp 390 Juta,Rp 2 Jutaan (Tenor 20 Tahun),V1 Dijual Apartemen Suhat Furnish Harga Menarik di Suhat Malang,Malang,1,1,,,23 m²
"Rp 6,78 Miliar",Rp 34 Jutaan (Tenor 20 Tahun),Rumah Bergaya Scandinavian Di Bukit Pratama,Jakarta Selatan,5,5,2,600 m²,501 m²
Rp 30 Miliar,Rp 154 Jutaan (Tenor 20 Tahun),Rumah Di Permata Hijau Jakarta Selatan,Jakarta Selatan,5,5,2,770 m²,1155 m²
"Rp 64,9 Miliar",Rp 333 Jutaan (Tenor 20 Tahun),Rumah Bergaya Contemporary Di Menteng,Jakarta Pusat,7,5,2,477 m²,715 m²
"Rp 2,5 Miliar",Rp 12 Jutaan (Tenor 20 Tahun),Rumah Siap Huni Hook Aman Dan Nyaman Dijual DiArea Rempoa Ciputat,Tangerang Selatan,5,4,2,210 m²,160 m²
Rp 960 Juta,Rp 4 Jutaan (Tenor 20 Tahun),Rumah Minimalis 2 Lantai di Antapani Tengah.,Bandung,2,2,1,89 m²,54 m²
"Rp 4,5 Miliar",Rp 23 Jutaan (Tenor 20 Tahun),Apartemen El Royale Bandung 3+1 BR,Bandung,3,2,,,144 m²
"Rp 1,25 Miliar",Rp 6 Jutaan (Tenor 20 Tahun),Dijual Rumah Baru Di Poris Indah Blok C,Tangerang,3,2,1,49 m²,90 m²
"Rp 1,95 Miliar",Rp 10 Jutaan (Tenor 20 Tahun),Rumah Baru Siap Huni Di Megapolitan Cinere,Depok,4,3,1,100 m²,110 m²
Rp 27 Miliar Total,Rp 138 Jutaan (Tenor 20 Tahun),Dijual Tanah Dan Bangunan Lokasi Sangat Strategis,Tangerang,,,,1680 m²,
Rp 4 Miliar,Rp 20 Jutaan (Tenor 20 Tahun),Rumah 2 lt  luas dengan taman belakang,Bekasi,3,3,1,322 m²,300 m²
Rp 230 Juta,Rp 1 Jutaan (Tenor 20 Tahun),Di Jual Apartemen Cepat 2 Kamar Tidur,Bandung,2,1,,,36 m²
"Rp 19,5 Miliar",Rp 100 Jutaan (Tenor 20 Tahun),RUMAH KOMERSIAL 0 JL BENGAWAN SURABAYA,Surabaya,5,3,,619 m²,302 m²
Rp 3 Juta /m²,Rp 20 Ribuan (Tenor 20 Tahun),Tanah Super Luas 9097m2 Zona Hunian Di Tambun Bekasi,Bekasi,,,,9097 m²,
Rp 3 Juta /m²,Rp 20 Ribuan (Tenor 20 Tahun),Tanah Super Luas 9097m2 Zona Hunian Di Tambun Bekasi,Bekasi,,,,9097 m²,
"Rp 1,4 Miliar",Rp 7 Jutaan (Tenor 20 Tahun),"Murahhhh....jarang ada, baru renovasi, selangkah ke kampus UPN , area rungkut",Surabaya,3,2,,100 m²,150 m²
Rp 10 Miliar Total,Rp 51 Jutaan (Tenor 20 Tahun),GUDANG SIAP PAKAI MARGOMULYO PERMAI,Surabaya,,2,,1188 m²,924 m²
Rp 425 Juta,Rp 2 Jutaan (Tenor 20 Tahun),Termurah!! Apt 1 Br Gandeng Puri Orchard Tower Ch,Jakarta Barat,1,1,,,35 m²
"Rp 12,7 Miliar Total",Rp 65 Jutaan (Tenor 20 Tahun),Turun Harga!Gudang Bagus 15x60m2 Kawasan Gudang Bandara Mas!,Tangerang,,2,4,900 m²,840 m²
"Rp 3,5 Miliar Total",Rp 18 Jutaan (Tenor 20 Tahun),Dijual Kos Aktif 17 Kamar Penuh Roi Tinggi Di Ciputat,Tangerang Selatan,,17,8,200 m²,390 m²
"Rp 1,42 Miliar Total",Rp 7 Jutaan (Tenor 20 Tahun),Dijual Ruko 2 Lt Baru Di Lakrasamana Depok,Depok,,2,4,84 m²,85 m²
"Rp 18,5 Miliar Total",Rp 95 Jutaan (Tenor 20 Tahun),Ruko Hoek Gandeng Badan 5 Lt Ex Karaoke Di Gading Bukit Indah,Jakarta Utara,,23,10,222 m²,1000 m²
