price,installment,title,location,bedroom,bathroom,garage,land_area,building_area
"Rp 4,9 Juta Total",Rp 30 Ribuan (Tenor 20 Tahun),MURAH! Tanah Jogja Area Jakal 5 Menit Kampus UII,Sleman,,,,211 m²,
Rp 676 Juta Total,Rp 3 Jutaan (Tenor 20 Tahun),Tanah Murah Jogja Dekat Exit Tol Trihanggo dan UTY,Sleman,,,,130 m²,
"Rp 4,5 Miliar",Rp 23 Jutaan (Tenor 20 Tahun),Rumah Hotsale Dijual Cepat di Sektor 3A Bintaro SC16223,Tangerang Selatan,6,5,2,214 m²,250 m²
"Rp 2,1 Miliar",Rp 10 Jutaan (Tenor 20 Tahun),Rumah Baru Luas 2 Lantai Dijual di Bogor View Gunung Kawasan Asri Fasilitas Lengkap,Bogor,3,2,1,120 m²,93 m²
"Rp 1,9 Miliar",Rp 9 Jutaan (Tenor 20 Tahun),"Dijual Rumah PIK 2, ukuran 4x15, 2 kamar, Siap Huni, Brandnew",Jakarta Utara,2,2,1,60 m²,96 m²
Rp 12 Miliar,Rp 61 Jutaan (Tenor 20 Tahun),"Turun Harga - Rumah BGM PIK 2,5 Lantai Sudah Extend Belakang !",Jakarta Utara,4,3,1,276 m²,325 m²
"Rp 2,85 Miliar",Rp 14 Jutaan (Tenor 20 Tahun),Dijual Cepat Apartemen The Mansion Full Furnish View Golf,Jakarta Pusat,3,2,,,119 m²
"Rp 1,04 Miliar",Rp 5 Jutaan (Tenor 20 Tahun),Rumah Baru Siap Huni di Jalan Raya Meruyung 10 Menit Ke Tol Limo Dan Tol Sawangan,Depok,4,3,2,64 m²,100 m²
"Rp 2,2 Miliar",Rp 11 Jutaan (Tenor 20 Tahun),Rumah Kondisi Baru Terravia BSD 2 Lantai Favorit Dekat AEON Eastvara Mall dan QBig,Tangerang,3,3,1,66 m²,95 m²
Rp 217 Juta Total,Rp 1 Jutaan (Tenor 20 Tahun),"Tanah Murah Area Purwomartani, Jogja SHM 99 m²",Sleman,,,,99 m²,
"Rp 2,7 Miliar",Rp 13 Jutaan (Tenor 20 Tahun),"TURUN HARGA OWNER BU! Jual Cepat Rumah Siap Huni Danau Indah 2,5Lantai",Jakarta Utara,4,3,2,98 m²,1 m²
Rp 26 Juta /m²,Rp 140 Ribuan (Tenor 20 Tahun),"Kavling orchard 276m, utara, jalan besar, asri, murah, langka",Jakarta Utara,,,,276 m²,
Rp 22 Juta /m²,Rp 120 Ribuan (Tenor 20 Tahun),DIJUAL CEPAT Kavling Sonata Lagon (Golf Island PIK),Jakarta Utara,,,,250 m²,
