price,installment,title,location,bedroom,bathroom,garage,land_area,building_area
"Rp 8,5 Miliar",Rp 43 Jutaan (Tenor 20 Tahun),Dijual Kost2an Cemara Asri,Deli Serdang,17,18,,180 m²,850 m²
"Rp 12,5 Miliar",Rp 64 Jutaan (Tenor 20 Tahun),Rumah Baru Di Tomang Bentuk Tanah Ngantong. Hoki. Jual Cepat,Jakarta Barat,5,4,1,313 m²,700 m²
"Rp 13,5 Miliar",Rp 69 Jutaan (Tenor 20 Tahun),Murah!! Rumah Mewah Ukuran Besar Bangunan Mandiri Di Alam Sutera Tangerang,Tangerang,6,6,2,555 m²,750 m²
"Rp 3,1 Miliar",Rp 15 Jutaan (Tenor 20 Tahun),Rumah Bagus 3 Lantai Shm Kebon Jeruk,Jakarta Barat,4,3,2,114 m²,200 m²
Rp 85 Miliar Total,Rp 437 Jutaan (Tenor 20 Tahun),LUXURY VILLA 8BR PERERENAN BEACH WALKING DISTANCE,Badung,8,8,,4800 m²,1000 m²
Rp 550 Juta,Rp 2 Jutaan (Tenor 20 Tahun),Apartemen B Residence Brand New,Tangerang,1,1,,,22 m²
"Rp 1,55 Miliar",Rp 7 Jutaan (Tenor 20 Tahun),"Apatemen Maqna Residence Type Loft, Meruya",Jakarta Barat,2,2,,,76 m²
"Rp 2,1 Miliar",Rp 10 Jutaan (Tenor 20 Tahun),Dijual Rugi Rumah Baru di Citra Raya Sentul 2 Lantai Siap Huni,Bogor,2,1,1,169 m²,79 m²
"Rp 4,2 Miliar",Rp 21 Jutaan (Tenor 20 Tahun),Jual.harga Terbaik Kavling Dalam Cluster Kota Wisata,Bogor,,,,574 m²,
"Rp 3,3 Miliar",Rp 16 Jutaan (Tenor 20 Tahun),"Rumah 2 Lantai Kawasan Pondok Hijau Golf, Gading Serpong",Tangerang,3,2,1,162 m²,120 m²
"Rp 1,1 Miliar",Rp 5 Jutaan (Tenor 20 Tahun),Termurah Rumah Di Area Symphonia Summarecon Gadingserpong,Tangerang,2,2,1,52 m²,46 m²
"Rp 3,8 Miliar",Rp 19 Jutaan (Tenor 20 Tahun),Rumah Nyaman Sayap Soetta Dekat Tol,Bandung,5,3,1,220 m²,350 m²
"Rp 4,8 Miliar",Rp 24 Jutaan (Tenor 20 Tahun),Brand new Villa 3 bedrooms 165m2 di Pecatu graha Bali,Badung,3,4,1,165 m²,200 m²
Rp 21 Miliar,Rp 108 Jutaan (Tenor 20 Tahun),Dijual Rumah Lama Murah Itung Tanah Saja Lokasi Tebet Barat,Jakarta Selatan,5,4,5,630 m²,450 m²
Rp 648 Juta,Rp 3 Jutaan (Tenor 20 Tahun),Cluster Sejuk.elit.di.pudak.payung.banyumanik,Semarang,3,2,2,69 m²,72 m²
Rp 839 Juta,Rp 4 Jutaan (Tenor 20 Tahun),FREE DP 800JTAN 1 LT COCOK BUAT ORTU GRAND EASTERN DEKAT MERR,Surabaya,2,1,1,60 m²,38 m²
Rp 480 Juta,Rp 2 Jutaan (Tenor 20 Tahun),FREE PPN+FREE SC 5THN+FREE FURNISH CORNEL STUDIO AT UNIV CIPUTRA,Surabaya,1,1,,,27 m²
"Rp 9,2 Miliar",Rp 47 Jutaan (Tenor 20 Tahun),Brand New Luxury Villa Fully Furnished in Canggu Near Echo Beach,Badung,5,5,,343 m²,462 m²
"Rp 7,95 Miliar",Rp 40 Jutaan (Tenor 20 Tahun),Rumah American Style Terbaru di Puri Bintaro Jaya 14686-LR 08111899xxx,Tangerang Selatan,4,5,2,250 m²,266 m²
"Rp 6,95 Miliar",Rp 35 Jutaan (Tenor 20 Tahun),Rumah Mewah dg Kolam Renan Terawat di Puri Bintaro 14685GB 08111899xxx,Tangerang Selatan,4,5,2,207 m²,240 m²
"Rp 3,3 Miliar",Rp 16 Jutaan (Tenor 20 Tahun),Turun Harga Setengah Milyar! Ruko Mekar Wangi Mainroad Cocok Untuk Berbagai Jenis Usaha,Bandung,,3,,123 m²,220 m²
"Rp 3,5 Miliar",Rp 18 Jutaan (Tenor 20 Tahun),Dijual Rumah Strategis Di Manyar Rejo Surabaya,Surabaya,3,2,,312 m²,283 m²
"Rp 2,85 Miliar",Rp 14 Jutaan (Tenor 20 Tahun),Tanah Murah' Di Komplek Angkatan Laut Duren Sawit Jakarta Timur,Jakarta Timur,,,,300 m²,
"Rp 1,6 Miliar",Rp 8 Jutaan (Tenor 20 Tahun),"Jual Rumah Hunian Nyaman dan Asri, Bella Casa Residence Jl. Tole Iskandar - Depok",Depok,2,1,1,120 m²,70 m²
"Rp 5,5 Miliar Total",Rp 28 Jutaan (Tenor 20 Tahun),"Gudang Murah Banget, Jalur Kontainer Di area Industri Grogol",Solo,,2,,2181 m²,1300 m²
"Rp 9,8 Miliar",Rp 50 Jutaan (Tenor 20 Tahun),Dijual Rumah Semi Furnish Di Raya Kedung Cowek Surabaya,Surabaya,7,5,,737 m²,1000 m²
Rp 800 Juta /m²,Rp 4 Jutaan (Tenor 20 Tahun),Dijual Tanah Kavling zona Pariwisata di Pantai Kedungu,Tabanan,,,,630 m²,
"Rp 7,8 Miliar",Rp 40 Jutaan (Tenor 20 Tahun),Dijual Rumah Di Laguna Regency Pakuwon City Surabaya,Surabaya,5,4,,375 m²,406 m²
"Rp 2,95 Miliar",Rp 15 Jutaan (Tenor 20 Tahun),Brand New Townhouse Di Veteran Dekat Pondok Indah,Jakarta Selatan,3,3,,157 m²,170 m²
Rp 4 Miliar,Rp 20 Jutaan (Tenor 20 Tahun),Dijual Rumah Full Furnish Di Grand Kenjeran Pinewood Surabaya,Surabaya,3,3,,126 m²,236 m²
"Rp 13,5 Miliar",Rp 69 Jutaan (Tenor 20 Tahun),Dijual Rumah Mewah Di Villa Bukit Regency Surabaya,Surabaya,3,2,,405 m²,400 m²
Rp 14 Miliar,Rp 72 Jutaan (Tenor 20 Tahun),Dijual Rumah Di Graha Family Selangkah Dari Raya Pakuwon Indah,Surabaya,3,3,,517 m²,860 m²
"Rp 1,4 Miliar",Rp 7 Jutaan (Tenor 20 Tahun),Rumah Murah Besar Di Harapan Indah,Bekasi,,5,1,144 m²,250 m²
Rp 12 Miliar,Rp 61 Jutaan (Tenor 20 Tahun),Ruko Murah & Pinggir Jalan Besar,Jakarta Selatan,,5,,229 m²,1000 m²
"Rp 5,5 Miliar",Rp 28 Jutaan (Tenor 20 Tahun),Dijual 3 Br Apartemen Verde Pet Friendly Harga Dijamin Terbaik,Jakarta Selatan,3,2,,,170 m²
"Rp 9,2 Miliar",Rp 47 Jutaan (Tenor 20 Tahun),Villa Baru 3 Lantai Modern Tropis Furnished Dekat Echo Beach,Badung,5,4,2,211 m²,355 m²
"Rp 10,5 Miliar Total",Rp 54 Jutaan (Tenor 20 Tahun),Cocok Untuk Investor SHM Tersewa Oleh Erablue di Raya Cirendeu,Jakarta Selatan,,3,,425 m²,400 m²
Rp 29 Miliar,Rp 149 Jutaan (Tenor 20 Tahun),Dijual Rumah Asri Di Kawasan Elite Pondok Indah,Jakarta Selatan,5,4,2,630 m²,600 m²
"Rp 2,2 Miliar",Rp 11 Jutaan (Tenor 20 Tahun),Brand New Villa Tropis Modern View Laut Dekat Pantai Melasti,Badung,2,2,1,150 m²,122 m²
"Rp 2,5 Miliar",Rp 12 Jutaan (Tenor 20 Tahun),Dijual Rumah Shm Muding Indah Gastu Barat,Denpasar,4,3,1,111 m²,180 m²
"Rp 3,95 Miliar",Rp 20 Jutaan (Tenor 20 Tahun),"Cipayung, Taman Mini, Jakarta Timur. Turun Harga! Cocok Resto Kebun atau Rumah Dinas.",Jakarta Timur,6,3,2,340 m²,300 m²
"Rp 7,5 Juta /m²",Rp 40 Ribuan (Tenor 20 Tahun),Kavling Asri Pusat Kota di Budi Indah Bandung,Bandung,,,,450 m²,
Rp 390 Juta,Rp 2 Jutaan (Tenor 20 Tahun),Dijual Apartemen Greenbay 2br Furnish Tahap 2 Jakarta Utara,Jakarta Utara,2,1,,,38 m²
"Rp 2,2 Miliar",Rp 11 Jutaan (Tenor 20 Tahun),"Rumah Murah 2.5lantai Citra Garden 2ext,pegadungan,jak Bar",Jakarta Barat,3,2,1,114 m²,200 m²
"Rp 2,65 Miliar Total",Rp 13 Jutaan (Tenor 20 Tahun),Dijual Ruko Baru 2025 di Jalan Utama Purwakarta,Purwakarta,,2,,72 m²,216 m²
Rp 400 Juta,Rp 2 Jutaan (Tenor 20 Tahun),"Tanah 1615m² Kampung Pule, Cikarang Utara, Kab Bekasi",Cikarang,,,,1615 m²,
Rp 270 Juta,Rp 1 Jutaan (Tenor 20 Tahun),Rumah Cluster Murah Perumahan Sentraland Paradise Siap Huni Dekat Stasiun KRL Parung Panjang dan Tol Legok,Bogor,1,1,,60 m²,23 m²
"Rp 3,95 Miliar",Rp 20 Jutaan (Tenor 20 Tahun),"Cipayung, Taman Mini, Jakarta Timur. Turun Harga! Cocok Resto Kebun atau Rumah Dinas.",Jakarta Timur,6,3,2,340 m²,300 m²
"Rp 7,5 Juta /m²",Rp 40 Ribuan (Tenor 20 Tahun),Kavling Asri Pusat Kota di Budi Indah Bandung,Bandung,,,,450 m²,
Rp 390 Juta,Rp 2 Jutaan (Tenor 20 Tahun),Dijual Apartemen Greenbay 2br Furnish Tahap 2 Jakarta Utara,Jakarta Utara,2,1,,,38 m²
"Rp 2,2 Miliar",Rp 11 Jutaan (Tenor 20 Tahun),"Rumah Murah 2.5lantai Citra Garden 2ext,pegadungan,jak Bar",Jakarta Barat,3,2,1,114 m²,200 m²
"Rp 2,65 Miliar Total",Rp 13 Jutaan (Tenor 20 Tahun),Dijual Ruko Baru 2025 di Jalan Utama Purwakarta,Purwakarta,,2,,72 m²,216 m²
Rp 400 Juta,Rp 2 Jutaan (Tenor 20 Tahun),"Tanah 1615m² Kampung Pule, Cikarang Utara, Kab Bekasi",Cikarang,,,,1615 m²,
Rp 270 Juta,Rp 1 Jutaan (Tenor 20 Tahun),Rumah Cluster Murah Perumahan Sentraland Paradise Siap Huni Dekat Stasiun KRL Parung Panjang dan Tol Legok,Bogor,1,1,,60 m²,23 m²
Rp 410 Juta,Rp 2 Jutaan (Tenor 20 Tahun),Rumah Cluster HOOK Murah Perumahan The River Siap Huni Dekat Stasiun KRL Parung Panjang dan Tol Legok,Bogor,2,1,1,72 m²,50 m²
Rp 645 Juta Total,Rp 3 Jutaan (Tenor 20 Tahun),Ruko 2 Lantai Langsung Hadap Jalan Utama Sentraland Paradise Dekat Stasiun KRL Parung Panjang dan Tol Legok,Bogor,,1,1,45 m²,90 m²
"Rp 14,8 Miliar Total",Rp 76 Jutaan (Tenor 20 Tahun),Mini Building 5 Lantai Di Mampang Prapatan Jakarta Selatam Lt 323m2 Cash Only,Jakarta Selatan,,,,323 m²,1100 m²
Rp 65 Miliar,Rp 334 Jutaan (Tenor 20 Tahun),"Rumah SHM Lokasi Strategis di Tamansari, Bandung",Bandung,16,9,,1150 m²,400 m²
Rp 6 Miliar Total,Rp 30 Jutaan (Tenor 20 Tahun),Termurah Manhattan Square TB Simatupang Office Space Siap Huni,Jakarta Selatan,,2,,230 m²,230 m²
Rp 1 Miliar,Rp 5 Jutaan (Tenor 20 Tahun),Dijual Rumah Murah Wiyung Gunungsari Indah 2 Lantai Surabaya,Surabaya,5,3,2,96 m²,150 m²
"Rp 4,5 Miliar",Rp 23 Jutaan (Tenor 20 Tahun),Murah Dijual Rumah Royal Residence + Kolam Renang Area Wiyung,Surabaya,4,3,2,300 m²,303 m²
"Rp 29,5 Miliar",Rp 151 Jutaan (Tenor 20 Tahun),Rumah Hitung Tanah Bebas Banjir Dekat Kemang Dalam Jakarta Selatan,Jakarta Selatan,4,4,6,1369 m²,650 m²
Rp 810 Juta,Rp 4 Jutaan (Tenor 20 Tahun),Jual Murah Apt Paladian..jarang Ada.. 2 Kamar Tidur Furnished Apartemen,Jakarta Utara,2,,,,69 m²
Rp 12 Miliar,Rp 61 Jutaan (Tenor 20 Tahun),"Kavling Villa di Puncak, Pinggir Jalan Raya dibawah NJOP Sekali",Bogor,5,5,,15490 m²,2243 m²
Rp 700 Juta,Rp 3 Jutaan (Tenor 20 Tahun),Royal Medit Unit STUDIO Full Furnish Turun Harga Bisa KPA,Jakarta Barat,1,1,,,30 m²
"Rp 1,5 Juta",Rp 10 Ribuan (Tenor 20 Tahun),Tanah Kavling Surat Shm Lokasi Strategis View Gunung Danau,Bogor,,,,240 m²,
"Rp 1,35 Miliar",Rp 6 Jutaan (Tenor 20 Tahun),Rumah Tinggal Royal Platinum 2,Pekanbaru,1,1,,156 m²,97 m²
Rp 875 Juta,Rp 4 Jutaan (Tenor 20 Tahun),Dijual Rumah Baru Gress Minimalis Medayu Tambak Rungkut,Surabaya,3,,,100 m²,55 m²
"Rp 27,5 Miliar",Rp 141 Jutaan (Tenor 20 Tahun),Luxury Option 3br 360m2 Furnished Lavie All Suites Kuningan,Jakarta Selatan,3,3,,,360 m²
Rp 17 Miliar Total,Rp 87 Jutaan (Tenor 20 Tahun),"Freehold land in prime area Nusa dua, Ungasan, Bali",Badung,,,,2500 m²,
"Rp 1,35 Miliar",Rp 6 Jutaan (Tenor 20 Tahun),"Murah Rumah 10 X 14,5 Cengkareng 1 Lantai Lokasi Bagus",Jakarta Barat,2,2,1,145 m²,80 m²
"Rp 18,6 Miliar Total",Rp 96 Jutaan (Tenor 20 Tahun),For Freehold Land In The Great Area Seminyak,Badung,,,,933 m²,
"Rp 5,5 Miliar",Rp 28 Jutaan (Tenor 20 Tahun),Freehold Exquisite Tropical Retreat 2 Bedroom Villa In Prime Canggu Location,Badung,2,2,,198 m²,217 m²
Rp 17 Miliar,Rp 87 Jutaan (Tenor 20 Tahun),Rumah Lokasi Strategis Di Tebet Jakarta Selatan,Jakarta Selatan,6,3,2,411 m²,422 m²
"Rp 1,9 Miliar",Rp 9 Jutaan (Tenor 20 Tahun),"Dijual Rumah Rapi 2 Lantai Di Mozia, Bsd, Tangerang",Tangerang,3,2,1,70 m²,78 m²
Rp 25 Miliar,Rp 128 Jutaan (Tenor 20 Tahun),Hotel Aktif Kawasan Wisata Malioboro Bintang 2,Yogyakarta,28,,,396 m²,1297 m²
Rp 250 Miliar Total,Rp 1 Miliaran (Tenor 20 Tahun),"Pabrik 1,9 ha Siap pakai di Balaraja Tangerang",Tangerang,,2,2,85000 m²,19000 m²
"Rp 2,8 Miliar",Rp 14 Jutaan (Tenor 20 Tahun),Rumah Bagus 2 Lantai Siap Huni Full Furnished Hadap Selatan Di Boulevard Savia Nusaloka Bsd,Tangerang,3,2,1,119 m²,118 m²
Rp 2 Miliar,Rp 10 Jutaan (Tenor 20 Tahun),Rumah Taman Alfa Indah Lingkungan Nyaman Harga Terbaik,Jakarta Barat,4,3,1,144 m²,210 m²
Rp 3 Miliar,Rp 15 Jutaan (Tenor 20 Tahun),Apartemen Kengsinton Kelapa Gading Kondisi Siap Huni,Jakarta Utara,3,2,,,101 m²
"Rp 1,9 Juta /m²",Rp 10 Ribuan (Tenor 20 Tahun),Tanah Modern Industrial Cikande Serang Banten,Serang,,,,4800 m²,
Rp 160 Miliar,Rp 823 Jutaan (Tenor 20 Tahun),"Jual Cepat Tanah & Bangunan 1,1 Hektar Di Jalan Pagesangan dekat Surabaya Kota",Surabaya,,6,,11000 m²,4000 m²
"Rp 22,5 Miliar",Rp 115 Jutaan (Tenor 20 Tahun),Rumah Cocok Untuk Usaha di Area Senopati Scbd,Jakarta Selatan,4,3,3,253 m²,400 m²
Rp 150 Miliar,Rp 771 Jutaan (Tenor 20 Tahun),Dijual guest house hitung tanah depan Hotel Sheraton Dago Bandung,Bandung,20,20,,8693 m²,1000 m²
"Rp 10,5 Miliar",Rp 54 Jutaan (Tenor 20 Tahun),FOR SALE LEBAK BULUS DALAM KOMPLEK,Jakarta Selatan,4,4,2,515 m²,380 m²
"Rp 4,8 Miliar",Rp 24 Jutaan (Tenor 20 Tahun),DIJUAL RUMAH TINGGAL DEKAT PONDOK INDAH MALL,Jakarta Selatan,2,3,2,165 m²,90 m²
Rp 12 Miliar,Rp 61 Jutaan (Tenor 20 Tahun),Dijual Rumah di daerah Gandaria - Kebayoran Baru - Jakarta Selatan,Jakarta Selatan,5,2,1,308 m²,200 m²
"Rp 68,3 Miliar",Rp 351 Jutaan (Tenor 20 Tahun),DIJUAL TANAH LUAS BELAKANG CITOS JAKARTA SELATAN,Jakarta Selatan,5,5,5,2732 m²,800 m²
"Rp 18,7 Miliar",Rp 96 Jutaan (Tenor 20 Tahun),"Jual Brand New Townhouse At One Park Gandaria City Luas 367sqm,harga 18.7 Milyar",Jakarta Selatan,4,2,,367 m²,367 m²
Rp 850 Juta,Rp 4 Jutaan (Tenor 20 Tahun),Dijual Cepat Rumah Bagus Minimalis Di Antapani Bandung,Bandung,2,1,1,50 m²,87 m²
Rp 3 Juta /m²,Rp 20 Ribuan (Tenor 20 Tahun),"DIJUAL TANAH PEKARANGAN LUAS DI NGAGLIK, DEKAT KE PASAR GENTAN",Sleman,,,,120 m²,
"Rp 5,2 Miliar",Rp 26 Jutaan (Tenor 20 Tahun),Villa Lokasi Taman Jimbaran Kuta Selatan,Badung,4,5,,529 m²,665 m²
"Rp 11,8 Miliar",Rp 60 Jutaan (Tenor 20 Tahun),"Rumah 3 Lantai Baru Unfurnished SHM di Cluster Bukit Golf International Dekat Uc Hokky Gwalk , Surabaya",Surabaya,5,6,2,350 m²,650 m²
"Rp 12,8 Miliar",Rp 65 Jutaan (Tenor 20 Tahun),Villa Lokasi Sanur,Denpasar,5,4,,1158 m²,450 m²
"Rp 4,8 Miliar",Rp 24 Jutaan (Tenor 20 Tahun),Rumah The Heritage Puri 11 Type 11x13.5 (3 Lantai) Hoek Taman,Tangerang,4,3,,143 m²,225 m²
"Rp 3,15 Miliar",Rp 16 Jutaan (Tenor 20 Tahun),APARTEMEN LA RIZ MANSION 3BR DI PAKUWON MALL SURABAYA BARAT,Surabaya,3,2,,,93 m²
Rp 12 Miliar,Rp 61 Jutaan (Tenor 20 Tahun),Villa Lokasi Padonan,Badung,5,5,,900 m²,600 m²
Rp 7 Miliar,Rp 36 Jutaan (Tenor 20 Tahun),Villa Lease Hold Padang Linjong,Badung,6,6,,700 m²,336 m²
Rp 485 Juta,Rp 2 Jutaan (Tenor 20 Tahun),Rumah Modern Minimalis DP 15 Juta di Gamping Dekat UMY,Sleman,2,1,1,108 m²,38 m²
"Rp 8,5 Miliar",Rp 43 Jutaan (Tenor 20 Tahun),Guest House Lokasi Canggu,Badung,4,3,,745 m²,395 m²
"Rp 6,8 Juta /m²",Rp 40 Ribuan (Tenor 20 Tahun),Dijual Cepat Gudang Termurah di Kamal Raya Tegal Alur,Jakarta Barat,,,,10700 m²,6500 m²
Rp 26 Juta /m²,Rp 140 Ribuan (Tenor 20 Tahun),Dijual di bawah NJOP Gudang Jembatan Dua Raya Jakarta Barat,Jakarta Barat,,,,900 m²,500 m²
Rp 4 Miliar,Rp 20 Jutaan (Tenor 20 Tahun),"Villa Aktif Lokasi Strategis Di Batu, Batu(ID1259)",Batu,6,5,2,270 m²,350 m²
"Rp 1,2 Miliar",Rp 6 Jutaan (Tenor 20 Tahun),For Sale Rumah Murah Hook Berlokasi di Mumbul Nusa Dua,Badung,3,2,1,84 m²,120 m²
Rp 21 Juta /m²,Rp 110 Ribuan (Tenor 20 Tahun),Jarang Ada Kavling Di Graha Famili Blok S Surabaya Barat,Surabaya,,,,576 m²,
"Rp 6,9 Miliar",Rp 35 Jutaan (Tenor 20 Tahun),For Sale Hunian Mewah Full Furnished Private Pool di Jimbaran,Badung,5,6,2,575 m²,400 m²
Rp 5 Miliar,Rp 25 Jutaan (Tenor 20 Tahun),Jual Rumah Minimalis Cluster Kertajaya Indah Regency Siap Huni,Surabaya,6,3,1,198 m²,250 m²
Rp 7 Miliar Total,Rp 36 Jutaan (Tenor 20 Tahun),Raya Dupak Ruko 3 Lantai Strategis Siap Pakai,Surabaya,,,,126 m²,378 m²
"Rp 3,3 Miliar",Rp 16 Jutaan (Tenor 20 Tahun),Brand New Exclusive Modern Villa Near to Jimbaran Beach,Badung,2,3,,105 m²,151 m²
Rp 25 Miliar,Rp 128 Jutaan (Tenor 20 Tahun),Villa Jual Lokasi Jimbaran,Badung,6,5,,1870 m²,870 m²
"Rp 10,5 Miliar",Rp 54 Jutaan (Tenor 20 Tahun),Villa Jual Lokasi Jimbaran,Badung,,4,,550 m²,450 m²
Rp 9 Miliar,Rp 46 Jutaan (Tenor 20 Tahun),Villa Lokasi Kerobokan,Badung,5,3,,600 m²,631 m²
"Rp 4,59 Miliar Total",Rp 23 Jutaan (Tenor 20 Tahun),TANAH KAVLING SIAP BANGUN GRAHA NATURA,Surabaya,,,,438 m²,
"Rp 8,5 Miliar",Rp 43 Jutaan (Tenor 20 Tahun),Villa Lokasi Semer,Badung,5,4,,500 m²,300 m²
Rp 17 Miliar,Rp 87 Jutaan (Tenor 20 Tahun),Villa Jual Lokasi Batu Bolong,Badung,4,5,,1040 m²,450 m²
