price,installment,title,location,bedroom,bathroom,garage,land_area,building_area
Rp 800 Juta Total,Rp 4 Jutaan (Tenor 20 Tahun),DIJUAL MURAH KIOS PASAR PAGI MANGGA DUA STRATEGIS,Jakarta Utara,,1,,18 m²,18 m²
Rp 8 Miliar,Rp 41 Jutaan (Tenor 20 Tahun),"Rumah 3 Lantai Bagus SHM di Benda Atas, Jakarta Selatan",Jakarta Selatan,4,5,1,227 m²,600 m²
"Rp 1,48 Miliar",Rp 7 Jutaan (Tenor 20 Tahun),Rumah 2 Lantai Unfurnished - Dekat Dengan Kereta Cepat Jakarta Bandung - 4 Pintu Tol & Hanya 20 Menit Dari / Menuju Halim Perdanakusuma Airport,Jakarta Timur,3,2,1,,
Rp 400 Juta,Rp 2 Jutaan (Tenor 20 Tahun),Rumah Minimalis Cocok Untuk Keluarga Baru,Bandung Barat,2,1,,90 m²,45 m²
Rp 25 Juta /m²,Rp 130 Ribuan (Tenor 20 Tahun),Dijual Tanah Langka Luas Kecil di Padang Linjong,Badung,,,,200 m²,
Rp 32 Miliar,Rp 164 Jutaan (Tenor 20 Tahun),Rumah Mewah & Cantik Permata Hijau,Jakarta Selatan,4,4,,555 m²,900 m²
Rp 600 Juta Total,Rp 3 Jutaan (Tenor 20 Tahun),Tanah MURAH lokasi premium dekat tempat wisata di Cibubur Bogor,Bogor,,,,168 m²,
"Rp 2,1 Miliar",Rp 10 Jutaan (Tenor 20 Tahun),Rumah Nyaman Dekat Stasiun Dan Tol Bebas Banjir Kencanaloka Bsd,Tangerang,,3,2,200 m²,100 m²
Rp 31 Miliar,Rp 159 Jutaan (Tenor 20 Tahun),Rumah Hitung Tanah Permata Hijau Dekat Senayan SHM,Jakarta Selatan,,,,1234 m²,
"Rp 4,55 Miliar Total",Rp 23 Jutaan (Tenor 20 Tahun),Ruko Rawamangun  4.5 Lantai  Rawamangun Jakarta Timur,Jakarta Timur,,4,2,112 m²,288 m²
Rp 3 Miliar,Rp 15 Jutaan (Tenor 20 Tahun),Dijual Cepat Bu Turun Harga Rumah Kencana Loka Bsd,Tangerang,4,4,2,200 m²,180 m²
"Rp 6,37 Miliar Total",Rp 32 Jutaan (Tenor 20 Tahun),"Tanah Di Area Villa Taman Sari Krobokan Bali Sangat Premium, Luas 450 M2",Badung,,,,425 m²,
"Rp 2,45 Miliar",Rp 12 Jutaan (Tenor 20 Tahun),Rumah Sudah Renovasi Di Gading Serpong,Tangerang,5,2,2,119 m²,120 m²
"Rp 1,55 Miliar",Rp 7 Jutaan (Tenor 20 Tahun),Cluster Modern Siap Bangun Dekat Kampus Umy Di Godean Yogyakarta,Sleman,3,3,2,108 m²,100 m²
Rp 7 Miliar,Rp 36 Jutaan (Tenor 20 Tahun),Rumah Tempat Tinggal & Usaha Kawasan Premium Riau / Dago /Wira Angun Angun,Bandung,9,8,2,300 m²,150 m²
"Rp 5,9 Miliar Total",Rp 30 Jutaan (Tenor 20 Tahun),Private Villa Eksklusif di dekat Raya Canggu view sawah - unit terbatas,Badung,3,2,,130 m²,238 m²
Rp 15 Miliar,Rp 77 Jutaan (Tenor 20 Tahun),Rumah Classic Mewah 3 Lantai Di Alam Sutera,Tangerang,5,6,2,392 m²,720 m²
Rp 328 Juta,Rp 1 Jutaan (Tenor 20 Tahun),Rumah Di Bali Rp 300 Jutaan & Dp Rp 5 Juta..bisa Kpr,Tabanan,2,1,,60 m²,33 m²
Rp 885 Juta,Rp 4 Jutaan (Tenor 20 Tahun),"Dijual Cepat Dibawah Njop, Rumah 2 Lantai, Posisi Di Huk, Seberang Rumah Dinas Walikota Rumah Butuh Minim Renovasi SHM di Losari, Ujung Pandang, Jl. Mangga No. 1, Losari, Ujung Pandang, Kota Makassar, Sulawesi Selatan, Indonesia, 90112, Losari",Makassar,2,3,1,66 m²,84 m²
"Rp 12,2 Miliar",Rp 62 Jutaan (Tenor 20 Tahun),Rumah Private Lift Bangunan Mandiri 3 Lantai Di Alam Sutera,Tangerang,8,6,2,358 m²,700 m²
"Rp 4,55 Miliar Total",Rp 23 Jutaan (Tenor 20 Tahun),Ruko Rawamangun  4.5 Lantai  Rawamangun Jakarta Timur,Jakarta Timur,,4,2,112 m²,288 m²
Rp 3 Miliar,Rp 15 Jutaan (Tenor 20 Tahun),Dijual Cepat Bu Turun Harga Rumah Kencana Loka Bsd,Tangerang,4,4,2,200 m²,180 m²
"Rp 6,37 Miliar Total",Rp 32 Jutaan (Tenor 20 Tahun),"Tanah Di Area Villa Taman Sari Krobokan Bali Sangat Premium, Luas 450 M2",Badung,,,,425 m²,
"Rp 2,45 Miliar",Rp 12 Jutaan (Tenor 20 Tahun),Rumah Sudah Renovasi Di Gading Serpong,Tangerang,5,2,2,119 m²,120 m²
"Rp 1,55 Miliar",Rp 7 Jutaan (Tenor 20 Tahun),Cluster Modern Siap Bangun Dekat Kampus Umy Di Godean Yogyakarta,Sleman,3,3,2,108 m²,100 m²
Rp 7 Miliar,Rp 36 Jutaan (Tenor 20 Tahun),Rumah Tempat Tinggal & Usaha Kawasan Premium Riau / Dago /Wira Angun Angun,Bandung,9,8,2,300 m²,150 m²
"Rp 5,9 Miliar Total",Rp 30 Jutaan (Tenor 20 Tahun),Private Villa Eksklusif di dekat Raya Canggu view sawah - unit terbatas,Badung,3,2,,130 m²,238 m²
Rp 15 Miliar,Rp 77 Jutaan (Tenor 20 Tahun),Rumah Classic Mewah 3 Lantai Di Alam Sutera,Tangerang,5,6,2,392 m²,720 m²
Rp 328 Juta,Rp 1 Jutaan (Tenor 20 Tahun),Rumah Di Bali Rp 300 Jutaan & Dp Rp 5 Juta..bisa Kpr,Tabanan,2,1,,60 m²,33 m²
Rp 885 Juta,Rp 4 Jutaan (Tenor 20 Tahun),"Dijual Cepat Dibawah Njop, Rumah 2 Lantai, Posisi Di Huk, Seberang Rumah Dinas Walikota Rumah Butuh Minim Renovasi SHM di Losari, Ujung Pandang, Jl. Mangga No. 1, Losari, Ujung Pandang, Kota Makassar, Sulawesi Selatan, Indonesia, 90112, Losari",Makassar,2,3,1,66 m²,84 m²
"Rp 12,2 Miliar",Rp 62 Jutaan (Tenor 20 Tahun),Rumah Private Lift Bangunan Mandiri 3 Lantai Di Alam Sutera,Tangerang,8,6,2,358 m²,700 m²
"Rp 1,15 Miliar",Rp 5 Jutaan (Tenor 20 Tahun),Rumah Murah Di Ciwaruga Dkt Setiabudi Gegerkalong Upi Bandung,Bandung,5,3,1,95 m²,140 m²
Rp 10 Juta /m²,Rp 60 Ribuan (Tenor 20 Tahun),Tanah Bagus Cocok Buat Ruko Di Jalan Baru Sholeh Iskandar BORR,Bogor,,,,590 m²,
