price,installment,title,location,bedroom,bathroom,garage,land_area,building_area
Rp 453 Juta,Rp 2 Jutaan (Tenor 20 Tahun),Rumah Bagus Shm Di Mojosaritype 40/72 Di Zian Istana Bisa Kpr,Mojokerto,2,1,1,40 m²,72 m²
Rp 735 Juta,Rp 3 Jutaan (Tenor 20 Tahun),Rumah Baru Furnished Akses Dekat Tol Depok,Depok,3,2,1,60 m²,55 m²
"Rp 1,25 Miliar Total",Rp 6 Jutaan (Tenor 20 Tahun),Kios / Ruang Usaha Dijual Murah Di Poins Square Lebak Bulus,Jakarta Selatan,,,,33 m²,33 m²
"Rp 1,5 Miliar Total",Rp 7 Jutaan (Tenor 20 Tahun),Cervino Village Apartment Office Space Siap Pakai Harga Murah Perkantoran,Jakarta Selatan,,1,,1 m²,53 m²
"Rp 2,2 Miliar",Rp 11 Jutaan (Tenor 20 Tahun),Dijual Murah Kost Allogio Gading Serpong Nego,Tangerang,10,6,,70 m²,143 m²
"Rp 3,2 Miliar",Rp 16 Jutaan (Tenor 20 Tahun),Dijual Rumah Non Cluster Gajahan Colomadu Solo Ada Swimming Pool,Solo,3,3,1,250 m²,210 m²
Rp 2 Miliar Total,Rp 10 Jutaan (Tenor 20 Tahun),Perkantoran Office Soho Premium Tanpa Dp & Tanpa Bichecking,Tangerang,,1,,116 m²,116 m²
Rp 900 Juta,Rp 4 Jutaan (Tenor 20 Tahun),Rumah 2 Lantai Dan Ada Attic Room Terbaru Dari Summarecon Serpong,Tangerang,4,3,1,60 m²,84 m²
"Rp 1,8 Miliar",Rp 9 Jutaan (Tenor 20 Tahun),Rumah Premium 2 Lantai Dengan Konsep Japanese Resort Hadap Danau,Tangerang,4,2,2,112 m²,104 m²
"Rp 1,3 Miliar",Rp 6 Jutaan (Tenor 20 Tahun),"Murah, Hitung tanah saja di Pondok Bunga Sariwangi, Bandung Barat",Bandung,3,4,6,286 m²,200 m²
"Rp 12,5 Miliar",Rp 64 Jutaan (Tenor 20 Tahun),Rumah Mewah Murah Di Tomang Bagus Bangunan Baru Dekat Mall,Jakarta Barat,5,4,,313 m²,700 m²
"Rp 1,8 Juta /m²",Rp 10 Ribuan (Tenor 20 Tahun),"Tanah Bagus Kotak Diarea Cikarang Selatan, Akses Toll Cikampek",Bekasi,,,,930 m²,
"Rp 1,47 Miliar",Rp 7 Jutaan (Tenor 20 Tahun),Rumah Minimalis @jakarta Barat,Jakarta Barat,3,2,1,39 m²,90 m²
"Rp 13,3 Miliar",Rp 68 Jutaan (Tenor 20 Tahun),Rumah Kost Terisi Tanjung Duren Jakbar,Jakarta Barat,42,42,,145 m²,575 m²
"Rp 1,35 Miliar",Rp 6 Jutaan (Tenor 20 Tahun),termurah furnish siap huni Eastern Park Residence,Surabaya,3,3,1,70 m²,90 m²
"Rp 9,25 Miliar",Rp 47 Jutaan (Tenor 20 Tahun),"Rumah Laguna Regency , Pakuwon City Selangkah ke Pakuwon City Mall",Surabaya,4,3,1,375 m²,425 m²
"Rp 1,4 Miliar",Rp 7 Jutaan (Tenor 20 Tahun),Dijual Murah Apartemen Thamrin Executive 2bedroom 2 Kamar Tidur Semi Furnished Apartemen,Jakarta Pusat,2,1,,,61 m²
Rp 6 Miliar,Rp 30 Jutaan (Tenor 20 Tahun),Jual Rumah Tengah Kota Darmo Permai Timur Surabaya The Edge,Surabaya,3,2,,351 m²,200 m²
"Rp 2,5 Miliar",Rp 12 Jutaan (Tenor 20 Tahun),Villa At Uluwatu Full Furnished Private Pool With Yearly Income,Badung,1,1,1,140 m²,70 m²
Rp 585 Juta,Rp 3 Jutaan (Tenor 20 Tahun),Rumah Grand Kedamean Gresik Lokasi Paling Depan Dekat Gate Utama,Gresik,3,2,,108 m²,72 m²
Rp 13 Miliar Total,Rp 66 Jutaan (Tenor 20 Tahun),"Dijual cepat 2 Ruko tempel, Blok A, dekat MRT, cocok untuk huni, usaha, dan Kos-kosan",Jakarta Selatan,,3,,267 m²,284 m²
"Rp 4,9 Juta /m²",Rp 30 Ribuan (Tenor 20 Tahun),Tanah Kavling Hook Dekat Exit Tol di Riverside Malang,Malang,,,,580 m²,
"Rp 4,65 Miliar",Rp 23 Jutaan (Tenor 20 Tahun),Rumah Villa Tropical Minimalis Dekat Dengan Pantai Surfing,Badung,3,3,1,140 m²,147 m²
"Rp 7,5 Juta /m²",Rp 40 Ribuan (Tenor 20 Tahun),"Tanah Ccok U/ Kost Eksklusif Seturan Dekat Pakuwon, Upn,ykpn, Ugm",Yogyakarta,,,,353 m²,
Rp 6 Juta /m²,Rp 40 Ribuan (Tenor 20 Tahun),"Tanah cocok utk homestay/kost dekat JCM, UGM, Jambon, Tugu Jogja",Sleman,,,,245 m²,
Rp 999 Juta,Rp 5 Jutaan (Tenor 20 Tahun),"Rumah Full Furnished Monjali Lempongsari dekat UGM, YKPN Palagan, Plemburan, Hyatt di perumahan",Sleman,4,1,,100 m²,110 m²
Rp 11 Juta /m²,Rp 60 Ribuan (Tenor 20 Tahun),"Tanah cocok utk Kost Eksklusif di Terban, Blimbingsari dekat Kampus UGM & RS Sardjito selatan Pogung, Jogja",Yogyakarta,,,,571 m²,
